Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    45D6A036 time date stamp Sat Feb 17 14:27:02 2007
        0.00 version
           1 ordinal base
        324  13A 0001C843 NtReadFile
        325  13B 0001CC03 NtReadFileScatter
        326  13C 0001CF94 NtReadRequestData
        327  13D 0001CD9B NtReadVirtualMemory
        328  13E 0001DD44 NtRegisterThreadTerminatePort
        329  13F 0001DD5C NtReleaseKeyedEvent
        330  140 0001CAB3 NtReleaseMutant
        331  141 0001C8A3 NtReleaseSemaphore
        332  142 0001C88B NtRemoveIoCompletion
        333  143 0001DD74 NtRemoveProcessDebug
        334  144 0001DD8C NtRenameKey
        335  145 0001DDA4 NtReplaceKey
        336  146 0001C8D3 NtReplyPort
        337  147 0001C8BB NtReplyWaitReceivePort
        338  148 0001CBBB NtReplyWaitReceivePortEx
        339  149 0001DDBC NtReplyWaitReplyPort
        340  14A 0001DDD4 NtRequestDeviceWakeup
        341  14B 0001DDEC NtRequestPort
        342  14C 0001CAE3 NtRequestWaitReplyPort
        343  14D 0001DE04 NtRequestWakeupLatency
        344  14E 0001DE1C NtResetEvent
        345  14F 0001DE34 NtResetWriteWatch
        346  150 0001DE4C NtRestoreKey
        347  151 0001DE64 NtResumeProcess
        348  152 0001CF64 NtResumeThread
        349  153 0001DE7C NtSaveKey
        350  154 0001DE94 NtSaveKeyEx
        351  155 0001DEAC NtSaveMergedKeys
        352  156 0001DEC4 NtSecureConnectPort
        353  157 0001DEDC NtSetBootEntryOrder
        354  158 0001DEF4 NtSetBootOptions
        355  159 0001DF0C NtSetContextThread
        356  15A 0001DF24 NtSetDebugFilterState
        357  15B 0001DF3C NtSetDefaultHardErrorPort
        358  15C 0001DF54 NtSetDefaultLocale
        359  15D 0001DF6C NtSetDefaultUILanguage
        360  15E 0001DF84 NtSetDriverEntryOrder
        361  15F 0001DF9C NtSetEaFile
        362  160 0001C903 NtSetEvent
        363  161 0001CBEB NtSetEventBoostPriority
        364  162 0001DFB4 NtSetHighEventPair
        365  163 0001DFCC NtSetHighWaitLowEventPair
        366  164 0001DFE4 NtSetInformationDebugObject
        367  165 0001CB5B NtSetInformationFile
        368  166 0001DFFC NtSetInformationJobObject
        369  167 0001E014 NtSetInformationKey
        370  168 0001D054 NtSetInformationObject
        371  169 0001CA53 NtSetInformationProcess
        372  16A 0001C8EB NtSetInformationThread
        373  16B 0001E02C NtSetInformationToken
        374  16C 0001E044 NtSetIntervalProfile
        375  16D 0001E05C NtSetIoCompletion
        376  16E 0001E074 NtSetLdtEntries
        377  16F 0001E08C NtSetLowEventPair
        378  170 0001E0A4 NtSetLowWaitHighEventPair
        379  171 0001E0BC NtSetQuotaInformationFile
        380  172 0001E0D4 NtSetSecurityObject
        381  173 0001E0EC NtSetSystemEnvironmentValue
        382  174 0001E104 NtSetSystemEnvironmentValueEx
        383  175 0001E11C NtSetSystemInformation
        384  176 0001E134 NtSetSystemPowerState
        385  177 0001E14C NtSetSystemTime
        386  178 0001E164 NtSetThreadExecutionState
        387  179 0001D0E4 NtSetTimer
        388  17A 0001E17C NtSetTimerResolution
        389  17B 0001E194 NtSetUuidSeed
        390  17C 0001D0B4 NtSetValueKey
        391  17D 0001E1AC NtSetVolumeInformationFile
        392  17E 0001E1C4 NtShutdownSystem
        393  17F 0001E1DC NtSignalAndWaitForSingleObject
        394  180 0001E1F4 NtStartProfile
        395  181 0001E20C NtStopProfile
        396  182 0001E224 NtSuspendProcess
        397  183 0001E23C NtSuspendThread
        398  184 0001E254 NtSystemDebugControl
        399  185 0001E26C NtTerminateJobObject
        400  186 0001CBD3 NtTerminateProcess
        401  187 0001CF7C NtTerminateThread
        402  188 0001E284 NtTestAlert
        403  189 0001D084 NtTraceEvent
        404  18A 0001E29C NtTranslateFilePath
        405  18B 0001E2B4 NtUnloadDriver
        407  18C 0001E2CC NtUnloadKey
        406  18D 0001E2E4 NtUnloadKey2
        408  18E 0001E2FC NtUnloadKeyEx
        409  18F 0001E314 NtUnlockFile
        410  190 0001E32C NtUnlockVirtualMemory
        411  191 0001CBA3 NtUnmapViewOfSection
        412  192 0001E344 NtVdmControl
        413  193 0001E35C NtWaitForDebugEvent
        414  194 0001E374 NtWaitForKeyedEvent
        416  195 0001D03C NtWaitForMultipleObjects
        415  196 0001CA23 NtWaitForMultipleObjects32
        417  197 0001C813 NtWaitForSingleObject
        418  198 0001E38C NtWaitHighEventPair
        419  199 0001E3A4 NtWaitLowEventPair
        420  19A 0001E414 NtWow64CsrAllocateCaptureBuffer
        421  19B 0001E444 NtWow64CsrAllocateMessagePointer
        422  19C 0001E45C NtWow64CsrCaptureMessageBuffer
        423  19D 0001E474 NtWow64CsrCaptureMessageString
        424  19E 0001E3FC NtWow64CsrClientCallServer
        425  19F 0001E3BC NtWow64CsrClientConnectToServer
        426  1A0 0001E42C NtWow64CsrFreeCaptureBuffer
        427  1A1 0001E4A4 NtWow64CsrGetProcessId
        428  1A2 0001E3E8 NtWow64CsrIdentifyAlertableThread
        429  1A3 0001E3D4 NtWow64CsrNewThread
        430  1A4 0001E48C NtWow64CsrSetPriorityClass
        431  1A5 0001E4B8 NtWow64DebuggerCall
        432  1A6 0001E4D0 NtWow64GetNativeSystemInformation
        433  1A7 0001E4E8 NtWow64QueryInformationProcess64
        434  1A8 0001E518 NtWow64QueryVirtualMemory64
        435  1A9 0001E500 NtWow64ReadVirtualMemory64
        436  1AA 0001C873 NtWriteFile
        437  1AB 0001CA3B NtWriteFileGather
        438  1AC 0001CFDC NtWriteRequestData
        439  1AD 0001CD23 NtWriteVirtualMemory
        440  1AE 0001CE43 NtYieldExecution
        441  1AF 0006AF2A PfxFindPrefix
        442  1B0 0006ABE2 PfxInitialize
        443  1B1 0006AE47 PfxInsertPrefix
        444  1B2 0006AC00 PfxRemovePrefix
          1  1B3 0006755B PropertyLengthAsVariant
        445  1B4 0006B046 RtlAbortRXact
        446  1B5 0003DBF0 RtlAbsoluteToSelfRelativeSD
        447  1B6 0001F9C9 RtlAcquirePebLock
        448  1B7 00035125 RtlAcquirePrivilege
        449  1B8 0003CEEA RtlAcquireResourceExclusive
        450  1B9 0003CE90 RtlAcquireResourceShared
        451  1BA 0002ABDA RtlActivateActivationContext
        452  1BB 0002AAEB RtlActivateActivationContextEx
          4  1BC 0001F074 RtlActivateActivationContextUnsafeFast
        453  1BD 0002DC7D RtlAddAccessAllowedAce
        454  1BE 0003DF69 RtlAddAccessAllowedAceEx
        455  1BF 0006E121 RtlAddAccessAllowedObjectAce
        456  1C0 0006E06B RtlAddAccessDeniedAce
        457  1C1 0006E08E RtlAddAccessDeniedAceEx
        458  1C2 0006E16E RtlAddAccessDeniedObjectAce
        459  1C3 0006DD45 RtlAddAce
        460  1C4 0006B22C RtlAddActionToRXact
        461  1C5 0003CC91 RtlAddAtomToAtomTable
        462  1C6 0006B088 RtlAddAttributeActionToRXact
        463  1C7 0006E0B2 RtlAddAuditAccessAce
        464  1C8 0006E0E9 RtlAddAuditAccessAceEx
        465  1C9 0006E1BC RtlAddAuditAccessObjectAce
        466  1CA 0006DE27 RtlAddCompoundAce
        467  1CB 000235B6 RtlAddRefActivationContext
        468  1CC 00062AE9 RtlAddVectoredContinueHandler
        469  1CD 00062B07 RtlAddVectoredExceptionHandler
        470  1CE 000298B1 RtlAddressInSectionTable
        471  1CF 0006BA7F RtlAdjustPrivilege
        472  1D0 00027FC1 RtlAllocateActivationContextStack
        473  1D1 0002DF64 RtlAllocateAndInitializeSid
        474  1D2 000220BC RtlAllocateHandle
        475  1D3 0001F666 RtlAllocateHeap
        476  1D4 00022171 RtlAnsiCharToUnicodeChar
        477  1D5 0006E924 RtlAnsiStringToUnicodeSize
        478  1D6 00020AF0 RtlAnsiStringToUnicodeString
        479  1D7 0006EEBA RtlAppendAsciizToString
        480  1D8 0005C66D RtlAppendPathElement
        481  1D9 0006EF1A RtlAppendStringToString
        482  1DA 00023549 RtlAppendUnicodeStringToString
        483  1DB 000222BF RtlAppendUnicodeToString
        484  1DC 00064560 RtlApplicationVerifierStop
        485  1DD 0006B6FB RtlApplyRXact
        486  1DE 0006B785 RtlApplyRXactNoFlush
        487  1DF 0006BCDB RtlAreAllAccessesGranted
        488  1E0 0006BCF7 RtlAreAnyAccessesGranted
        489  1E1 0006F88C RtlAreBitsClear
        490  1E2 000307CC RtlAreBitsSet
        491  1E3 0006FC60 RtlAssert
        492  1E4 00070699 RtlCancelTimer
        493  1E5 0001EC9C RtlCaptureContext
        494  1E6 000709BE RtlCaptureStackBackTrace
        495  1E7 000708B9 RtlCaptureStackContext
        496  1E8 0002EA7B RtlCharToInteger
        497  1E9 00028529 RtlCheckForOrphanedCriticalSections
        498  1EA 00070F30 RtlCheckProcessParameters
        499  1EB 00071BDD RtlCheckRegistryKey
        500  1EC 0006EF6E RtlClearAllBits
        501  1ED 00030786 RtlClearBits
        502  1EE 00039FE3 RtlCompactHeap
        503  1EF 00011A29 RtlCompareMemory
        504  1F0 00011A79 RtlCompareMemoryUlong
        505  1F1 0006EDCE RtlCompareString
        506  1F2 00022ADC RtlCompareUnicodeString
        507  1F3 000737C5 RtlCompressBuffer
        508  1F4 00073A10 RtlComputeCrc32
        509  1F5 000671C0 RtlComputeImportTableHash
        510  1F6 0005E62D RtlComputePrivatizedDllName_U
        511  1F7 0006A43B RtlConsoleMultiByteToUnicodeN
        512  1F8 0005EACC RtlConvertExclusiveToShared
        513  1F9 0001202C RtlConvertLongToLargeInteger
          2  1FA 000674C3 RtlConvertPropertyToVariant
        514  1FB 0005EA71 RtlConvertSharedToExclusive
        515  1FC 00022508 RtlConvertSidToUnicodeString
        516  1FD 0005F5D0 RtlConvertToAutoInheritSecurityObject
        517  1FE 0005F8E3 RtlConvertUiListToApiList
        518  1FF 00012034 RtlConvertUlongToLargeInteger
          3  200 00067421 RtlConvertVariantToProperty
        519  201 0002363D RtlCopyLuid
        520  202 0006BC07 RtlCopyLuidAndAttributesArray
        521  203 00073F79 RtlCopyMappedMemory
        522  204 0005F16B RtlCopySecurityDescriptor
        523  205 00028C80 RtlCopySid
        524  206 0006BB4A RtlCopySidAndAttributesArray
        525  207 0006ED8A RtlCopyString
        526  208 00022789 RtlCopyUnicodeString
        527  209 0002DC2B RtlCreateAcl
        528  20A 00034147 RtlCreateActivationContext
        529  20B 0005F2C0 RtlCreateAndSetSD
        530  20C 000349B5 RtlCreateAtomTable
        531  20D 000741F1 RtlCreateBootStatusDataFile
        532  20E 00040C16 RtlCreateEnvironment
        533  20F 00031931 RtlCreateHeap
        534  210 000366A5 RtlCreateProcessParameters
        535  211 0005FEFE RtlCreateQueryDebugBuffer
        536  212 00071C0A RtlCreateRegistryKey
        537  213 0002DAC9 RtlCreateSecurityDescriptor
        538  214 000750B3 RtlCreateSystemVolumeInformationFolder
        539  215 00037A13 RtlCreateTagHeap
        540  216 0003BEB9 RtlCreateTimer
        541  217 0003BC03 RtlCreateTimerQueue
        542  218 0002A70F RtlCreateUnicodeString
        543  219 000295AA RtlCreateUnicodeStringFromAsciiz
        544  21A 00074876 RtlCreateUserProcess
        545  21B 0005F559 RtlCreateUserSecurityObject
        546  21C 00074633 RtlCreateUserThread
        547  21D 00069838 RtlCustomCPToUnicodeN
        548  21E 0006AA16 RtlCutoverTimeToSystemTime
        549  21F 000365ED RtlDeNormalizeProcessParams
        550  220 0002A9F0 RtlDeactivateActivationContext
          5  221 0001F0E0 RtlDeactivateActivationContextUnsafeFast
        551  222 0006FEA0 RtlDebugPrintTimes
        552  223 00027C2E RtlDecodePointer
        553  224 00038E9D RtlDecodeSystemPointer
        554  225 00073841 RtlDecompressBuffer
        555  226 000738AD RtlDecompressFragment
        556  227 0005F5E0 RtlDefaultNpAcl
        557  228 00036E6F RtlDelete
        558  229 0004287B RtlDeleteAce
        559  22A 0003CF7B RtlDeleteAtomFromAtomTable
        560  22B 00021179 RtlDeleteCriticalSection
        561  22C 00036E0E RtlDeleteElementGenericTable
        562  22D 00075A99 RtlDeleteElementGenericTableAvl
        563  22E 00075430 RtlDeleteNoSplay
