Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    B7F0154A time date stamp
        0.00 version
           8 ordinal base
        2485 number of functions
        2484 number of names

    ordinal hint RVA      name

       1095  43E 00080480 RtlGetLastNtStatus
       1096  43F 000AE8B0 RtlGetLastWin32Error
       1097  440 00077650 RtlGetLengthWithoutLastFullDosOrNtPathElement
       1098  441 000881C0 RtlGetLengthWithoutTrailingPathSeperators
       1099  442 0007F7A0 RtlGetLocaleFileMappingAddress
       1100  443 00088430 RtlGetLongestNtPathLength
       1101  444 0007DEE0 RtlGetMultiTimePrecise
       1102  445 0009F300 RtlGetNativeSystemInformation
       1103  446 0007CF40 RtlGetNextEntryHashTable
       1104  447 00102890 RtlGetNextUmsListItem
       1105  448 001087C0 RtlGetNonVolatileToken
       1106  449 0009E320 RtlGetNtGlobalFlags
       1107  44A 00049EB0 RtlGetNtProductType
       1108  44B 00018390 RtlGetNtSystemRoot
       1109  44C 000DEFC0 RtlGetNtVersionNumbers
       1110  44D 0006C380 RtlGetOwnerSecurityDescriptor
       1111  44E 000137A0 RtlGetParentLocaleName
       1112  44F 0000B010 RtlGetPersistedStateLocation
       1113  450 000FD210 RtlGetProcessHeaps
       1114  451 0008B840 RtlGetProcessPreferredUILanguages
       1115  452 00077AF0 RtlGetProductInfo
       1116  453 00109F40 RtlGetReturnAddressHijackTarget
       1117  454 00079C10 RtlGetSaclSecurityDescriptor
       1118  455 00086170 RtlGetSearchPath
       1119  456 00088390 RtlGetSecurityDescriptorRMControl
       1120  457 000F0C30 RtlGetSessionProperties
       1121  458 000F9170 RtlGetSetBootStatusData
       1122  459 00049E80 RtlGetSuiteMask
       1123  45A 000880F0 RtlGetSystemBootStatus
       1124  45B 000F92E0 RtlGetSystemBootStatusEx
       1125  45C 0006D720 RtlGetSystemGlobalData
       1126  45D 00081B00 RtlGetSystemPreferredUILanguages
       1127  45E 0007D0C0 RtlGetSystemTimeAndBias
       1128  45F 000103F0 RtlGetSystemTimePrecise
       1129  460 000D9270 RtlGetThreadErrorMode
       1130  461 000F9DE0 RtlGetThreadLangIdByIndex
       1131  462 000116C0 RtlGetThreadPreferredUILanguages
       1132  463 0007E170 RtlGetThreadWorkOnBehalfTicket
       1133  464 00087B10 RtlGetTokenNamedObjectPath
       1134  465 00089E10 RtlGetUILanguageInfo
       1135  466 001028A0 RtlGetUmsCompletionListEvent
       1136  467 000DA360 RtlGetUnloadEventTrace
       1137  468 000DA380 RtlGetUnloadEventTraceEx
       1138  469 00075DC0 RtlGetUserInfoHeap
       1139  46A 00080990 RtlGetUserPreferredUILanguages
       1140  46B 0002F0A0 RtlGetVersion
       1141  46C 000EB0E0 RtlGrowFunctionTable
       1142  46D 0006D4F0 RtlGuardCheckLongJumpTarget
       1143  46E 00062150 RtlHashUnicodeString
       1144  46F 0010A530 RtlHeapTrkInitialize
       1145  470 0007F530 RtlIdentifierAuthoritySid
       1146  471 0000C250 RtlIdnToAscii
       1147  472 0010B860 RtlIdnToNameprepUnicode
       1148  473 0000DF30 RtlIdnToUnicode
       1149  474 000837C0 RtlImageDirectoryEntryToData
       1150  475 0002E760 RtlImageNtHeader
       1151  476 000243D0 RtlImageNtHeaderEx
       1152  477 000286E0 RtlImageRvaToSection
       1153  478 000F56A0 RtlImageRvaToVa
       1154  479 00078F40 RtlImpersonateSelf
       1155  47A 00078F60 RtlImpersonateSelfEx
       1156  47B 00108200 RtlIncrementCorrelationVector
       1157  47C 0000BDC0 RtlInitAnsiString
       1158  47D 0006AE10 RtlInitAnsiStringEx
       1159  47E 000F8940 RtlInitBarrier
       1160  47F 000ADB70 RtlInitCodePageTable
       1161  480 0006CA30 RtlInitEnumerationHashTable
       1162  481 000E0780 RtlInitMemoryStream
       1163  482 000EFC20 RtlInitNlsTables
       1164  483 000E0780 RtlInitOutOfProcessMemoryStream
       1165  484 0000BDC0 RtlInitString
       1166  485 000F5DC0 RtlInitStringEx
       1167  486 0008C2A0 RtlInitStrongEnumerationHashTable
       1168  487 00015BD0 RtlInitUTF8String
       1169  488 000F5DC0 RtlInitUTF8StringEx
       1170  489 00018340 RtlInitUnicodeString
       1171  48A 0001A810 RtlInitUnicodeStringEx
       1172  48B 00101320 RtlInitWeakEnumerationHashTable
       1173  48C 0009E2B0 RtlInitializeAtomPackage
       1174  48D 0007E6D0 RtlInitializeBitMap
       1175  48E 0009E2C0 RtlInitializeBitMapEx
       1176  48F 0007F4D0 RtlInitializeConditionVariable
       1177  490 0010B920 RtlInitializeContext
       1178  491 00108310 RtlInitializeCorrelationVector
       1179  492 0005C200 RtlInitializeCriticalSection
       1180  493 0005C2B0 RtlInitializeCriticalSectionAndSpinCount
       1181  494 0005C830 RtlInitializeCriticalSectionEx
       1182  495 00054200 RtlInitializeExtendedContext
       1183  496 00054710 RtlInitializeExtendedContext2
       1184  497 0007FBE0 RtlInitializeGenericTable
       1185  498 00083800 RtlInitializeGenericTableAvl
       1186  499 000818F0 RtlInitializeHandleTable
       1187  49A 0008E400 RtlInitializeNtUserPfn
       1188  49B 0008D7E0 RtlInitializeRXact
       1189  49C 0005C410 RtlInitializeResource
       1190  49D 000708C0 RtlInitializeSListHead
       1191  49E 0006D990 RtlInitializeSRWLock
       1192  49F 000129C0 RtlInitializeSid
       1193  4A0 00012960 RtlInitializeSidEx
       1194  4A1 000625D0 RtlInsertElementGenericTable
       1195  4A2 0006A6E0 RtlInsertElementGenericTableAvl
       1196  4A3 00062640 RtlInsertElementGenericTableFull
       1197  4A4 0006A750 RtlInsertElementGenericTableFullAvl
       1198  4A5 0006CAA0 RtlInsertEntryHashTable
       1199  4A6 0008C760 RtlInstallFunctionTableCallback
       1200  4A7 000F8AD0 RtlInt64ToUnicodeString
       1201  4A8 0006F2C0 RtlIntegerToChar
       1202  4A9 0006F230 RtlIntegerToUnicodeString
       1203  4AA 0007BC40 RtlInterlockedClearBitRun
       1204  4AB 000F7D20 RtlInterlockedClearBitRunEx
       1205  4AC 00072BB0 RtlInterlockedFlushSList
       1206  4AD 000A29D0 RtlInterlockedPopEntrySList
       1207  4AE 0006E300 RtlInterlockedPushEntrySList
       1208  4AF 000A2A80 RtlInterlockedPushListSList
       1209  4B0 000AEA70 RtlInterlockedPushListSListEx
       1210  4B1 000F7DE0 RtlInterlockedSetBitRun
       1211  4B2 000FCC70 RtlIoDecodeMemIoResource
       1212  4B3 000FCD20 RtlIoEncodeMemIoResource
       1213  4B4 00082C20 RtlIpv4AddressToStringA
       1214  4B5 00082B80 RtlIpv4AddressToStringExA
       1215  4B6 0007AD40 RtlIpv4AddressToStringExW
       1216  4B7 0007AE10 RtlIpv4AddressToStringW
       1217  4B8 0007F1F0 RtlIpv4StringToAddressA
       1218  4B9 0007F180 RtlIpv4StringToAddressExA
       1219  4BA 0000D570 RtlIpv4StringToAddressExW
       1220  4BB 0000D6A0 RtlIpv4StringToAddressW
       1221  4BC 00080E70 RtlIpv6AddressToStringA
       1222  4BD 0008A1D0 RtlIpv6AddressToStringExA
       1223  4BE 00052840 RtlIpv6AddressToStringExW
       1224  4BF 00052990 RtlIpv6AddressToStringW
       1225  4C0 00083A30 RtlIpv6StringToAddressA
       1226  4C1 000839A0 RtlIpv6StringToAddressExA
       1227  4C2 0000D8C0 RtlIpv6StringToAddressExW
       1228  4C3 0000DAF0 RtlIpv6StringToAddressW
       1229  4C4 000E9DB0 RtlIsActivationContextActive
       1230  4C5 0000BE00 RtlIsApiSetImplemented
       1231  4C6 00013E80 RtlIsCapabilitySid
       1232  4C7 00087C10 RtlIsCloudFilesPlaceholder
       1233  4C8 000ADFE0 RtlIsCriticalSectionLocked
       1234  4C9 0002C790 RtlIsCriticalSectionLockedByThread
       1235  4CA 0006BB80 RtlIsCurrentProcess
       1236  4CB 00001FD0 RtlIsCurrentThread
       1237  4CC 0009E000 RtlIsCurrentThreadAttachExempt
       1238  4CD 0007B130 RtlIsDosDeviceName_U
       1239  4CE 000D6430 RtlIsEcCode
       1240  4CF 00085350 RtlIsElevatedRid
       1241  4D0 00088E10 RtlIsEnclaveFeaturePresent
       1242  4D1 000805C0 RtlIsGenericTableEmpty
       1243  4D2 000AE800 RtlIsGenericTableEmptyAvl
       1244  4D3 000096F0 RtlIsMultiSessionSku
       1245  4D4 00080D10 RtlIsMultiUsersInSessionSku
       1246  4D5 00107580 RtlIsNameInExpression
       1247  4D6 00107630 RtlIsNameInUnUpcasedExpression
       1248  4D7 00108EE0 RtlIsNameLegalDOS8Dot3
       1249  4D8 000AEA80 RtlIsNonEmptyDirectoryReparsePointAllowed
       1250  4D9 0010D180 RtlIsNormalizedString
       1251  4DA 00085BB0 RtlIsPackageSid
       1252  4DB 00088850 RtlIsParentOfChildAppContainer
       1253  4DC 00085150 RtlIsPartialPlaceholder
       1254  4DD 0010BBE0 RtlIsPartialPlaceholderFileHandle
       1255  4DE 0010BC40 RtlIsPartialPlaceholderFileInfo
       1256  4DF 0002BBB0 RtlIsProcessorFeaturePresent
       1257  4E0 0006F3D0 RtlIsStateSeparationEnabled
       1258  4E1 0005FF20 RtlIsTextUnicode
       1259  4E2 00085A60 RtlIsThreadWithinLoaderCallout
       1260  4E3 000F0CF0 RtlIsUntrustedObject
       1261  4E4 00003B80 RtlIsValidHandle
       1262  4E5 00003B40 RtlIsValidIndexHandle
       1263  4E6 001093E0 RtlIsValidLocaleName
       1264  4E7 00068920 RtlIsValidProcessTrustLabelSid
       1265  4E8 0010BD00 RtlIsZeroMemory
       1266  4E9 0010D260 RtlKnownExceptionFilter
       1267  4EA 00015630 RtlLCIDToCultureName
       1268  4EB 000F8B80 RtlLargeIntegerToChar
       1269  4EC 00015910 RtlLcidToLocaleName
       1270  4ED 00026AA0 RtlLeaveCriticalSection
       1271  4EE 000F7EA0 RtlLengthCurrentClearRunBackwardEx
       1272  4EF 000F7F50 RtlLengthCurrentClearRunForwardEx
       1273  4F0 0007D380 RtlLengthRequiredSid
       1274  4F1 00073200 RtlLengthSecurityDescriptor
       1275  4F2 000708A0 RtlLengthSid
       1276  4F3 0001A860 RtlLengthSidAsUnicodeString
       1277  4F4 00003040 RtlLoadString
       1278  4F5 000F0070 RtlLocalTimeToSystemTime
       1279  4F6 000150F0 RtlLocaleNameToLcid
       1280  4F7 00101390 RtlLocateExtendedFeature
       1281  4F8 000764E0 RtlLocateExtendedFeature2
       1282  4F9 00085D90 RtlLocateLegacyContext
       1283  4FA 000F9300 RtlLockBootStatusData
       1284  4FB 00086FA0 RtlLockCurrentThread
       1285  4FC 00029940 RtlLockHeap
       1286  4FD 00051C50 RtlLockMemoryBlockLookaside
       1287  4FE 000E0790 RtlLockMemoryStreamRegion
       1288  4FF 00051CD0 RtlLockMemoryZone
       1289  500 00051A20 RtlLockModuleSection
       1290  501 0010DA30 RtlLogStackBackTrace
       1291  502 00003820 RtlLookupAtomInAtomTable
       1292  503 00062750 RtlLookupElementGenericTable
       1293  504 00062DB0 RtlLookupElementGenericTableAvl
       1294  505 00102910 RtlLookupElementGenericTableFull
       1295  506 00067330 RtlLookupElementGenericTableFullAvl
       1296  507 0006CB30 RtlLookupEntryHashTable
       1297  508 0008A530 RtlLookupFirstMatchingElementGenericTableAvl
       1298  509 000202D0 RtlLookupFunctionEntry
       1299  50A 0009E1B0 RtlLookupFunctionTable
       1300  50B 0006C770 RtlMakeSelfRelativeSD
       1301  50C 00076F30 RtlMapGenericMask
       1302  50D 000F0E80 RtlMapSecurityErrorToNtStatus
       1303  50E 000A57C0 RtlMoveMemory
       1304  50F 0006E310 RtlMultiAppendUnicodeStringBuffer
       1305  510 00058A70 RtlMultiByteToUnicodeN
       1306  511 000186C0 RtlMultiByteToUnicodeSize
       1307  512 000FD4F0 RtlMultipleAllocateHeap
       1308  513 000FD570 RtlMultipleFreeHeap
       1309  514 000E17F0 RtlNewInstanceSecurityObject
       1310  515 000E1920 RtlNewSecurityGrantedAccess
       1311  516 000861C0 RtlNewSecurityObject
       1312  517 0007DA40 RtlNewSecurityObjectEx
       1313  518 000E1A70 RtlNewSecurityObjectWithMultipleInheritance
       1314  519 000873A0 RtlNormalizeProcessParams
       1315  51A 000F0F90 RtlNormalizeSecurityDescriptor
       1316  51B 000893B0 RtlNormalizeString
       1317  51C 000AEB10 RtlNotifyFeatureUsage
       1318  51D 000D72C0 RtlNtPathNameToDosPathName
       1319  51E 00053130 RtlNtStatusToDosError
       1320  51F 000771B0 RtlNtStatusToDosErrorNoTeb
       1321  520 00132680 RtlNtdllName
       1322  521 000851F0 RtlNumberGenericTableElements
       1323  522 00085870 RtlNumberGenericTableElementsAvl
       1324  523 0008C380 RtlNumberOfClearBits
       1325  524 000F8040 RtlNumberOfClearBitsEx
       1326  525 000F8070 RtlNumberOfClearBitsInRange
       1327  526 0007FC20 RtlNumberOfSetBits
       1328  527 000F80A0 RtlNumberOfSetBitsEx
       1329  528 000F8240 RtlNumberOfSetBitsInRange
       1330  529 0008CDD0 RtlNumberOfSetBitsUlongPtr
       1331  52A 000589C0 RtlOemStringToUnicodeSize
       1332  52B 000588F0 RtlOemStringToUnicodeString
       1333  52C 00058A30 RtlOemToUnicodeN
       1334  52D 0006BB10 RtlOpenCrossProcessEmulatorWorkConnection
       1335  52E 0000E410 RtlOpenCurrentUser
       1336  52F 0010E7E0 RtlOsDeploymentState
       1337  530 0010E450 RtlOverwriteFeatureConfigurationBuffer
       1338  531 0008C600 RtlOwnerAcesPresent
       1339  532 00076540 RtlPcToFileHeader
       1340  533 000F55D0 RtlPinAtomInAtomTable
       1341  534 00067BA0 RtlPopFrame
       1342  535 00082D80 RtlPrefixString
       1343  536 00014430 RtlPrefixUnicodeString
       1344  537 0009E040 RtlPrepareForProcessCloning
       1345  538 00051190 RtlProcessFlsData
       1346  539 00048BA0 RtlProtectHeap
       1347  53A 000804A0 RtlPublishWnfStateData
       1348  53B 00067AF0 RtlPushFrame
       1349  53C 0007D190 RtlQueryActivationContextApplicationSettings
       1350  53D 00070970 RtlQueryAllFeatureConfigurations
       1351  53E 00003270 RtlQueryAtomInAtomTable
       1352  53F 000F32F0 RtlQueryCriticalSectionOwner
       1353  540 0006E4D0 RtlQueryDepthSList
       1354  541 000F98E0 RtlQueryDynamicTimeZoneInformation
       1355  542 000836C0 RtlQueryElevationFlags
       1356  543 0001E6E0 RtlQueryEnvironmentVariable
       1357  544 00058840 RtlQueryEnvironmentVariable_U
       1358  545 00070A20 RtlQueryFeatureConfiguration
       1359  546 00088FD0 RtlQueryFeatureConfigurationChangeStamp
       1360  547 000708F0 RtlQueryFeatureUsageNotificationSubscriptions
       1361  548 0008AC20 RtlQueryHeapInformation
       1362  549 000EC040 RtlQueryImageMitigationPolicy
       1363  54A 00077E20 RtlQueryInformationAcl
       1364  54B 00032FA0 RtlQueryInformationActivationContext
       1365  54C 00082B40 RtlQueryInformationActiveActivationContext
       1366  54D 000E07A0 RtlQueryInterfaceMemoryStream
       1367  54E 000EE610 RtlQueryModuleInformation
       1368  54F 0006DE80 RtlQueryPackageClaims
       1369  550 0006DDB0 RtlQueryPackageIdentity
       1370  551 0006DE10 RtlQueryPackageIdentityEx
       1371  552 000104B0 RtlQueryPerformanceCounter
       1372  553 00077190 RtlQueryPerformanceFrequency
       1373  554 00100C10 RtlQueryPointerMapping
       1374  555 000E1DC0 RtlQueryProcessBackTraceInformation
       1375  556 00001320 RtlQueryProcessDebugInformation
       1376  557 000E1F50 RtlQueryProcessHeapInformation
       1377  558 000E24E0 RtlQueryProcessLockInformation
       1378  559 0010BCB0 RtlQueryProcessPlaceholderCompatibilityMode
       1379  55A 00100CD0 RtlQueryPropertyStore
       1380  55B 00084570 RtlQueryProtectedPolicy
       1381  55C 0008D6B0 RtlQueryRegistryValueWithFallback
       1382  55D 000F9900 RtlQueryRegistryValues
       1383  55E 000879D0 RtlQueryRegistryValuesEx
       1384  55F 00049750 RtlQueryResourcePolicy
       1385  560 000E1AD0 RtlQuerySecurityObject
       1386  561 000FD5E0 RtlQueryTagHeap
       1387  562 00083F60 RtlQueryThreadPlaceholderCompatibilityMode
       1388  563 000D6EA0 RtlQueryThreadProfiling
       1389  564 0005DB40 RtlQueryTimeZoneInformation
       1390  565 00086670 RtlQueryTokenHostIdAsUlong64
       1391  566 001028B0 RtlQueryUmsThreadInformation
       1392  567 00067400 RtlQueryUnbiasedInterruptTime
       1393  568 0010E920 RtlQueryValidationRunlevel
       1394  569 00086210 RtlQueryWnfMetaNotification
       1395  56A 00060D20 RtlQueryWnfStateData
       1396  56B 000871C0 RtlQueryWnfStateDataWithExplicitScope
       1397  56C 000E6210 RtlQueueApcWow64Thread
       1398  56D 0004C490 RtlQueueWorkItem
       1399  56E 0010E9E0 RtlRaiseCustomSystemEventTrigger
       1400  56F 000542C0 RtlRaiseException
       1401  570 000A3B70 RtlRaiseExceptionForReturnAddressHijack
       1402  571 000A3730 RtlRaiseNoncontinuableException
       1403  572 0010EDF0 RtlRaiseStatus
       1404  573 0007CF80 RtlRandom
       1405  574 0007CF80 RtlRandomEx
       1406  575 00038C90 RtlRbInsertNodeEx
       1407  576 00038390 RtlRbRemoveNode
       1408  577 00041C40 RtlReAllocateHeap
       1409  578 000E07B0 RtlReadMemoryStream
       1410  579 000E07B0 RtlReadOutOfProcessMemoryStream
       1411  57A 000D6ED0 RtlReadThreadProfilingData
       1412  57B 000AE7B0 RtlRealPredecessor
       1413  57C 00062CA0 RtlRealSuccessor
       1414  57D 00060760 RtlRegisterFeatureConfigurationChangeNotification
       1415  57E 00060700 RtlRegisterForWnfMetaNotification
       1416  57F 00102D40 RtlRegisterSecureMemoryCacheCallback
       1417  580 000803C0 RtlRegisterThreadWithCsrss
       1418  581 0004D0A0 RtlRegisterWait
       1419  582 00033810 RtlReleaseActivationContext
       1420  583 000E0740 RtlReleaseMemoryStream
       1421  584 000327E0 RtlReleasePath
       1422  585 0007D910 RtlReleasePebLock
       1423  586 00081A40 RtlReleasePrivilege
       1424  587 0002E230 RtlReleaseRelativeName
       1425  588 0005FE40 RtlReleaseResource
       1426  589 000336C0 RtlReleaseSRWLockExclusive
       1427  58A 00026770 RtlReleaseSRWLockShared
       1428  58B 0010BA50 RtlRemoteCall
       1429  58C 0007D930 RtlRemoveEntryHashTable
       1430  58D 00100D60 RtlRemovePointerMapping
       1431  58E 00087870 RtlRemovePrivileges
       1432  58F 00100E40 RtlRemovePropertyStore
       1433  590 000E37F0 RtlRemoveVectoredContinueHandler
       1434  591 000853B0 RtlRemoveVectoredExceptionHandler
       1435  592 000F1270 RtlReplaceSidInSd
       1436  593 00085E60 RtlReplaceSystemDirectoryInPath
       1437  594 000E68F0 RtlReportException
       1438  595 000E69C0 RtlReportExceptionEx
       1439  596 00050D20 RtlReportSilentProcessExit
       1440  597 000E7320 RtlReportSqmEscalation
       1441  598 000F5740 RtlResetMemoryBlockLookaside
       1442  599 000F58B0 RtlResetMemoryZone
       1443  59A 0008E520 RtlResetNtUserPfn
       1444  59B 000EFC30 RtlResetRtlTranslations
       1445  59C 000F9320 RtlRestoreBootStatusDefaults
       1446  59D 0006D380 RtlRestoreContext
       1447  59E 000532D0 RtlRestoreLastWin32Error
       1448  59F 000F9450 RtlRestoreSystemBootStatusDefaults
       1449  5A0 0008A090 RtlRestoreThreadPreferredUILanguages
       1450  5A1 0008E5A0 RtlRetrieveNtUserPfn
       1451  5A2 000E07C0 RtlRevertMemoryStream
       1452  5A3 000F1580 RtlRunDecodeUnicodeString
       1453  5A4 000F15E0 RtlRunEncodeUnicodeString
       1454  5A5 000608D0 RtlRunOnceBeginInitialize
       1455  5A6 00060C50 RtlRunOnceComplete
       1456  5A7 00032350 RtlRunOnceExecuteOnce
       1457  5A8 00084310 RtlRunOnceInitialize
       1458  5A9 000F00E0 RtlSecondsSince1970ToTime
       1459  5AA 000F0110 RtlSecondsSince1980ToTime
       1460  5AB 000E07D0 RtlSeekMemoryStream
       1461  5AC 0006C590 RtlSelfRelativeToAbsoluteSD
       1462  5AD 000898C0 RtlSelfRelativeToAbsoluteSD2
       1463  5AE 000885D0 RtlSendMsgToSm
       1464  5AF 0007CA50 RtlSetAllBits
       1465  5B0 000F84C0 RtlSetAllBitsEx
       1466  5B1 000F1690 RtlSetAttributesSecurityDescriptor
       1467  5B2 00082EF0 RtlSetBit
       1468  5B3 0009E2E0 RtlSetBitEx
       1469  5B4 00005010 RtlSetBits
       1470  5B5 000F8530 RtlSetBitsEx
       1471  5B6 0006C3C0 RtlSetControlSecurityDescriptor
       1472  5B7 000748D0 RtlSetCriticalSectionSpinCount
       1473  5B8 0007B390 RtlSetCurrentDirectory_U
       1474  5B9 0008DE70 RtlSetCurrentEnvironment
       1475  5BA 0006ACB0 RtlSetCurrentTransaction
       1476  5BB 000142A0 RtlSetDaclSecurityDescriptor
       1477  5BC 000F9930 RtlSetDynamicTimeZoneInformation
       1478  5BD 000D8F70 RtlSetEnvironmentStrings
       1479  5BE 00014790 RtlSetEnvironmentVar
       1480  5BF 000588B0 RtlSetEnvironmentVariable
       1481  5C0 001013B0 RtlSetExtendedFeaturesMask
       1482  5C1 0010E4F0 RtlSetFeatureConfigurations
       1483  5C2 00014240 RtlSetGroupSecurityDescriptor
       1484  5C3 0007CAB0 RtlSetHeapInformation
       1485  5C4 000ECAF0 RtlSetImageMitigationPolicy
       1486  5C5 000F4380 RtlSetInformationAcl
       1487  5C6 001264F0 RtlSetIoCompletionCallback
       1488  5C7 000532D0 RtlSetLastWin32Error
       1489  5C8 00053110 RtlSetLastWin32ErrorAndNtStatusFromNtStatus
       1490  5C9 000E07E0 RtlSetMemoryStreamSize
       1491  5CA 000141E0 RtlSetOwnerSecurityDescriptor
       1492  5CB 000F9850 RtlSetPortableOperatingSystem
       1493  5CC 000E2780 RtlSetProcessDebugInformation
       1494  5CD 0008DCA0 RtlSetProcessIsCritical
       1495  5CE 00088E90 RtlSetProcessPlaceholderCompatibilityMode
       1496  5CF 0006F510 RtlSetProcessPreferredUILanguages
       1497  5D0 00082780 RtlSetProtectedPolicy
       1498  5D1 00088820 RtlSetProxiedProcessId
       1499  5D2 00068B60 RtlSetSaclSecurityDescriptor
       1500  5D3 00002000 RtlSetSearchPathMode
       1501  5D4 00088220 RtlSetSecurityDescriptorRMControl
       1502  5D5 00079D60 RtlSetSecurityObject
       1503  5D6 0008C5C0 RtlSetSecurityObjectEx
       1504  5D7 00088130 RtlSetSystemBootStatus
       1505  5D8 000F9490 RtlSetSystemBootStatusEx
       1506  5D9 000573C0 RtlSetThreadErrorMode
       1507  5DA 00088040 RtlSetThreadIsCritical
       1508  5DB 000807B0 RtlSetThreadPlaceholderCompatibilityMode
       1509  5DC 00087A00 RtlSetThreadPoolStartFunc
       1510  5DD 0006F820 RtlSetThreadPreferredUILanguages
       1511  5DE 0006F6B0 RtlSetThreadPreferredUILanguages2
       1512  5DF 0004E8E0 RtlSetThreadSubProcessTag
       1513  5E0 0004E870 RtlSetThreadWorkOnBehalfTicket
       1514  5E1 000F9950 RtlSetTimeZoneInformation
       1515  5E2 001264E0 RtlSetTimer
       1516  5E3 001028C0 RtlSetUmsThreadInformation
       1517  5E4 00081EB0 RtlSetUnhandledExceptionFilter
       1518  5E5 000FDAC0 RtlSetUserFlagsHeap
       1519  5E6 000761F0 RtlSetUserValueHeap
       1520  5E7 0007FDA0 RtlSidDominates
       1521  5E8 00068890 RtlSidDominatesForTrust
       1522  5E9 000F16C0 RtlSidEqualLevel
       1523  5EA 00078C00 RtlSidHashInitialize
       1524  5EB 00074920 RtlSidHashLookup
       1525  5EC 000F1750 RtlSidIsHigherLevel
       1526  5ED 0003A4D0 RtlSizeHeap
       1527  5EE 00068BD0 RtlSleepConditionVariableCS
       1528  5EF 00069050 RtlSleepConditionVariableSRW
       1529  5F0 00062840 RtlSplay
       1530  5F1 00080C50 RtlStartRXact
       1531  5F2 000E07F0 RtlStatMemoryStream
       1532  5F3 0006E5C0 RtlStringFromGUID
       1533  5F4 0006E5D0 RtlStringFromGUIDEx
       1534  5F5 0008A640 RtlStronglyEnumerateEntryHashTable
       1535  5F6 00077AB0 RtlSubAuthorityCountSid
       1536  5F7 000740A0 RtlSubAuthoritySid
       1537  5F8 0010E600 RtlSubscribeForFeatureUsageNotification
       1538  5F9 00060DF0 RtlSubscribeWnfStateChangeNotification
       1539  5FA 00062AE0 RtlSubtreePredecessor
       1540  5FB 001028E0 RtlSubtreeSuccessor
       1541  5FC 00049840 RtlSwitchedVVI
       1542  5FD 0007DDD0 RtlSystemTimeToLocalTime
       1543  5FE 00086400 RtlTestAndPublishWnfStateData
       1544  5FF 00088E60 RtlTestBit
       1545  600 0009E300 RtlTestBitEx
       1546  601 000869C0 RtlTestProtectedAccess
       1547  602 00058DC0 RtlTimeFieldsToTime
       1548  603 000F0140 RtlTimeToElapsedTimeFields
       1549  604 0007BD50 RtlTimeToSecondsSince1970
       1550  605 0007BD00 RtlTimeToSecondsSince1980
       1551  606 000590F0 RtlTimeToTimeFields
       1552  607 0010EEB0 RtlTraceDatabaseAdd
       1553  608 0010EF30 RtlTraceDatabaseCreate
       1554  609 0010F070 RtlTraceDatabaseDestroy
       1555  60A 0010F0F0 RtlTraceDatabaseEnumerate
       1556  60B 0010F1D0 RtlTraceDatabaseFind
       1557  60C 0010F250 RtlTraceDatabaseLock
       1558  60D 0010F280 RtlTraceDatabaseUnlock
       1559  60E 0010F2A0 RtlTraceDatabaseValidate
       1560  60F 000472E0 RtlTryAcquirePebLock
       1561  610 00075C20 RtlTryAcquireSRWLockExclusive
       1562  611 00079BA0 RtlTryAcquireSRWLockShared
       1563  612 000F31B0 RtlTryConvertSRWLockSharedToExclusiveOrRelease
       1564  613 00043950 RtlTryEnterCriticalSection
       1565  614 000551D0 RtlUTF8StringToUnicodeString
       1566  615 000552B0 RtlUTF8ToUnicodeN
       1567  616 0010F6F0 RtlUdiv128
       1568  617 001028D0 RtlUmsThreadYield
       1569  618 0009E340 RtlUnhandledExceptionFilter
       1570  619 0010D280 RtlUnhandledExceptionFilter2
       1571  61A 000575A0 RtlUnicodeStringToAnsiSize
       1572  61B 00018710 RtlUnicodeStringToAnsiString
       1573  61C 000F5950 RtlUnicodeStringToCountedOemString
       1574  61D 00076DB0 RtlUnicodeStringToInteger
       1575  61E 000575A0 RtlUnicodeStringToOemSize
       1576  61F 000574D0 RtlUnicodeStringToOemString
       1577  620 0010F5D0 RtlUnicodeStringToUTF8String
       1578  621 000188A0 RtlUnicodeToCustomCPN
       1579  622 000183C0 RtlUnicodeToMultiByteN
       1580  623 00018830 RtlUnicodeToMultiByteSize
       1581  624 000589F0 RtlUnicodeToOemN
       1582  625 00059650 RtlUnicodeToUTF8N
       1583  626 0008E2B0 RtlUniform
       1584  627 000F94B0 RtlUnlockBootStatusData
       1585  628 000870D0 RtlUnlockCurrentThread
       1586  629 000297C0 RtlUnlockHeap
       1587  62A 00051E10 RtlUnlockMemoryBlockLookaside
       1588  62B 000E0790 RtlUnlockMemoryStreamRegion
       1589  62C 00051E70 RtlUnlockMemoryZone
       1590  62D 00051970 RtlUnlockModuleSection
       1591  62E 0004FEA0 RtlUnregisterFeatureConfigurationChangeNotification
       1592  62F 0010E610 RtlUnsubscribeFromFeatureUsageNotifications
       1593  630 0004BF90 RtlUnsubscribeWnfNotificationWaitForCompletion
       1594  631 00088BE0 RtlUnsubscribeWnfNotificationWithCompletionCallback
       1595  632 00087FF0 RtlUnsubscribeWnfStateChangeNotification
       1596  633 00054100 RtlUnwind
       1597  634 0001FAD0 RtlUnwindEx
       1598  635 00059610 RtlUpcaseUnicodeChar
       1599  636 0000FAD0 RtlUpcaseUnicodeString
