Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    B7F0154A time date stamp
        0.00 version
           8 ordinal base
        2485 number of functions
        2484 number of names

    ordinal hint RVA      name

        181   AC 0006B120 LdrUnloadAlternateResourceModule
        182   AD 0006B130 LdrUnloadAlternateResourceModuleEx
        183   AE 0002CE60 LdrUnloadDll
        184   AF 000509B0 LdrUnlockLoaderLock
        185   B0 000D9EE0 LdrUnregisterDllNotification
        186   B1 00083DA0 LdrUpdatePackageSearchPath
        187   B2 000D9F90 LdrVerifyImageMatchesChecksum
        188   B3 0008CFC0 LdrVerifyImageMatchesChecksumEx
        189   B4 00022180 LdrpResGetMappingSize
        190   B5 00005C20 LdrpResGetResourceDirectory
        191   B6 00122CF0 MD4Final
        192   B7 00122DC0 MD4Init
        193   B8 00123380 MD4Update
        194   B9 00061750 MD5Final
        195   BA 0007F820 MD5Init
        196   BB 00061820 MD5Update
        197   BC 0007BEB0 MicrosoftTelemetryAssertTriggeredUM
        198   BD 0018182C NlsAnsiCodePage
        199   BE 00185890 NlsMbCodePageTag
        200   BF 00185680 NlsMbOemCodePageTag
        201   C0 0009EC80 NtAcceptConnectPort
        202   C1 0009EC40 NtAccessCheck
        203   C2 0009F160 NtAccessCheckAndAuditAlarm
        204   C3 0009F890 NtAccessCheckByType
        205   C4 0009F760 NtAccessCheckByTypeAndAuditAlarm
        206   C5 0009F8B0 NtAccessCheckByTypeResultList
        207   C6 0009F8D0 NtAccessCheckByTypeResultListAndAuditAlarm
        208   C7 0009F8F0 NtAccessCheckByTypeResultListAndAuditAlarmByHandle
        209   C8 0009F910 NtAcquireCrossVmMutant
        210   C9 0009F930 NtAcquireProcessActivityReference
        211   CA 0009F520 NtAddAtom
        212   CB 0009F950 NtAddAtomEx
        213   CC 0009F970 NtAddBootEntry
        214   CD 0009F990 NtAddDriverEntry
        215   CE 0009F9B0 NtAdjustGroupsToken
        216   CF 0009F460 NtAdjustPrivilegesToken
        217   D0 0009F9D0 NtAdjustTokenClaimsAndDeviceGroups
        218   D1 0009F9F0 NtAlertResumeThread
        219   D2 0009FA10 NtAlertThread
        220   D3 0009FA30 NtAlertThreadByThreadId
        221   D4 0009FA50 NtAllocateLocallyUniqueId
        222   D5 0009FA70 NtAllocateReserveObject
        223   D6 0009FA90 NtAllocateUserPhysicalPages
        224   D7 0009FAB0 NtAllocateUserPhysicalPagesEx
        225   D8 0009FAD0 NtAllocateUuids
        226   D9 0009EF40 NtAllocateVirtualMemory
        227   DA 0009FAF0 NtAllocateVirtualMemoryEx
        228   DB 0009FB10 NtAlpcAcceptConnectPort
        229   DC 0009FB30 NtAlpcCancelMessage
        230   DD 0009FB50 NtAlpcConnectPort
        231   DE 0009FB70 NtAlpcConnectPortEx
        232   DF 0009FB90 NtAlpcCreatePort
        233   E0 0009FBB0 NtAlpcCreatePortSection
        234   E1 0009FBD0 NtAlpcCreateResourceReserve
        235   E2 0009FBF0 NtAlpcCreateSectionView
        236   E3 0009FC10 NtAlpcCreateSecurityContext
        237   E4 0009FC30 NtAlpcDeletePortSection
        238   E5 0009FC50 NtAlpcDeleteResourceReserve
        239   E6 0009FC70 NtAlpcDeleteSectionView
        240   E7 0009FC90 NtAlpcDeleteSecurityContext
        241   E8 0009FCB0 NtAlpcDisconnectPort
        242   E9 0009FCD0 NtAlpcImpersonateClientContainerOfPort
        243   EA 0009FCF0 NtAlpcImpersonateClientOfPort
        244   EB 0009FD10 NtAlpcOpenSenderProcess
        245   EC 0009FD30 NtAlpcOpenSenderThread
        246   ED 0009FD50 NtAlpcQueryInformation
        247   EE 0009FD70 NtAlpcQueryInformationMessage
        248   EF 0009FD90 NtAlpcRevokeSecurityContext
        249   F0 0009FDB0 NtAlpcSendWaitReceivePort
        250   F1 0009FDD0 NtAlpcSetInformation
        251   F2 0009F5C0 NtApphelpCacheControl
        252   F3 0009FDF0 NtAreMappedFilesTheSame
        253   F4 0009FE10 NtAssignProcessToJobObject
        254   F5 0009FE30 NtAssociateWaitCompletionPacket
        255   F6 0009FE50 NtCallEnclave
        256   F7 0009ECE0 NtCallbackReturn
        257   F8 0009F7D0 NtCancelIoFile
        258   F9 0009FE70 NtCancelIoFileEx
        259   FA 0009FE90 NtCancelSynchronousIoFile
        260   FB 0009F850 NtCancelTimer
        261   FC 0009FEB0 NtCancelTimer2
        262   FD 0009FED0 NtCancelWaitCompletionPacket
        263   FE 0009FEF0 NtChangeProcessState
        264   FF 0009FF10 NtChangeThreadState
