Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file E:\KsaLib\0\dll_xp_win7_win11\ntdll_export\ntdll_86.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    2451EFDD time date stamp
        0.00 version
           8 ordinal base
        2482 number of functions
        2482 number of names

    ordinal hint RVA      name

       1107  447 0006DE80 RtlGetOwnerSecurityDescriptor
       1108  448 00030640 RtlGetParentLocaleName
       1109  449 00069740 RtlGetPersistedStateLocation
       1110  44A 000DBED0 RtlGetProcessHeaps
       1111  44B 000D7820 RtlGetProcessPreferredUILanguages
       1112  44C 00070610 RtlGetProductInfo
       1113  44D 00038580 RtlGetReturnAddressHijackTarget
       1114  44E 0006EB80 RtlGetSaclSecurityDescriptor
       1115  44F 00029F50 RtlGetSearchPath
       1116  450 000CB7F0 RtlGetSecurityDescriptorRMControl
       1117  451 000CB830 RtlGetSessionProperties
       1118  452 000D5EC0 RtlGetSetBootStatusData
       1119  453 00038520 RtlGetSuiteMask
       1120  454 000D5FC0 RtlGetSystemBootStatus
       1121  455 000D6000 RtlGetSystemBootStatusEx
       1122  456 0008FE80 RtlGetSystemGlobalData
       1123  457 000D78F0 RtlGetSystemPreferredUILanguages
       1124  458 0008E520 RtlGetSystemTimeAndBias
       1125  459 00060B10 RtlGetSystemTimePrecise
       1126  45A 000B3DD0 RtlGetThreadErrorMode
       1127  45B 000D7D40 RtlGetThreadLangIdByIndex
       1128  45C 0002F1C0 RtlGetThreadPreferredUILanguages
       1129  45D 00025810 RtlGetThreadWorkOnBehalfTicket
       1130  45E 000CB8C0 RtlGetTokenNamedObjectPath
       1131  45F 000D7E10 RtlGetUILanguageInfo
       1132  460 000B4F40 RtlGetUnloadEventTrace
       1133  461 000B4F50 RtlGetUnloadEventTraceEx
       1134  462 0005FA40 RtlGetUserInfoHeap
       1135  463 00028F30 RtlGetUserPreferredUILanguages
       1136  464 00037CA0 RtlGetVersion
       1137  465 000E9450 RtlGuardCheckLongJumpTarget
       1138  466 0004B980 RtlHashUnicodeString
       1139  467 000E9C50 RtlHeapTrkInitialize
       1140  468 00070A10 RtlIdentifierAuthoritySid
       1141  469 00069440 RtlIdnToAscii
       1142  46A 000EAE30 RtlIdnToNameprepUnicode
       1143  46B 000EAE60 RtlIdnToUnicode
       1144  46C 000512C0 RtlImageDirectoryEntryToData
       1145  46D 00053FE0 RtlImageNtHeader
       1146  46E 00051A50 RtlImageNtHeaderEx
       1147  46F 000D2690 RtlImageRvaToSection
       1148  470 000D26E0 RtlImageRvaToVa
       1149  471 0006EA80 RtlImpersonateSelf
       1150  472 0006EAA0 RtlImpersonateSelfEx
       1151  473 000E7C20 RtlIncrementCorrelationVector
       1152  474 000788A0 RtlInitAnsiString
       1153  475 00062CF0 RtlInitAnsiStringEx
       1154  476 000D56E0 RtlInitBarrier
       1155  477 000C9420 RtlInitCodePageTable
       1156  478 000E0610 RtlInitEnumerationHashTable
       1157  479 0008D8D0 RtlInitMemoryStream
       1158  47A 000C0F00 RtlInitNlsTables
       1159  47B 0008D8D0 RtlInitOutOfProcessMemoryStream
       1160  47C 00078860 RtlInitString
       1161  47D 000D35A0 RtlInitStringEx
       1162  47E 000E0670 RtlInitStrongEnumerationHashTable
       1163  47F 000D35C0 RtlInitUTF8String
       1164  480 000D35A0 RtlInitUTF8StringEx
       1165  481 000788E0 RtlInitUnicodeString
       1166  482 00049710 RtlInitUnicodeStringEx
       1167  483 000E06B0 RtlInitWeakEnumerationHashTable
       1168  484 0008E970 RtlInitializeAtomPackage
       1169  485 000709E0 RtlInitializeBitMap
       1170  486 0005A990 RtlInitializeConditionVariable
       1171  487 000EBF00 RtlInitializeContext
       1172  488 000E7CF0 RtlInitializeCorrelationVector
       1173  489 00061030 RtlInitializeCriticalSection
       1174  48A 00061050 RtlInitializeCriticalSectionAndSpinCount
       1175  48B 00059DA0 RtlInitializeCriticalSectionEx
       1176  48C 0006B6E0 RtlInitializeExceptionChain
       1178  48D 000E0F80 RtlInitializeExtendedContext
       1177  48E 000E0D90 RtlInitializeExtendedContext2
       1179  48F 0006E1A0 RtlInitializeGenericTable
       1180  490 00070A80 RtlInitializeGenericTableAvl
       1181  491 0006DF50 RtlInitializeHandleTable
       1182  492 000780E0 RtlInitializeNtUserPfn
       1183  493 000CABF0 RtlInitializeRXact
       1184  494 0005DCA0 RtlInitializeResource
       1185  495 0006C1C0 RtlInitializeSListHead
       1186  496 0005A990 RtlInitializeSRWLock
       1187  497 0002E520 RtlInitializeSid
       1188  498 0002C490 RtlInitializeSidEx
       1189  499 00026110 RtlInsertElementGenericTable
       1190  49A 00025360 RtlInsertElementGenericTableAvl
       1191  49B 000262B0 RtlInsertElementGenericTableFull
       1192  49C 00025480 RtlInsertElementGenericTableFullAvl
       1193  49D 000E06D0 RtlInsertEntryHashTable
       1194  49E 000D58F0 RtlInt64ToUnicodeString
       1195  49F 00032990 RtlIntegerToChar
       1196  4A0 00032920 RtlIntegerToUnicodeString
       1197  4A1 000D4870 RtlInterlockedClearBitRun
       1198  4A2 00098310 RtlInterlockedCompareExchange64
       1199  4A3 00042620 RtlInterlockedFlushSList
       1200  4A4 000432F0 RtlInterlockedPopEntrySList
       1201  4A5 00043340 RtlInterlockedPushEntrySList
         11  4A6 000C3A10 RtlInterlockedPushListSList
       1202  4A7 000EC380 RtlInterlockedPushListSListEx
       1203  4A8 000D4910 RtlInterlockedSetBitRun
       1204  4A9 000DB9C0 RtlIoDecodeMemIoResource
       1205  4AA 000DBA80 RtlIoEncodeMemIoResource
       1206  4AB 00075A00 RtlIpv4AddressToStringA
       1207  4AC 000E7390 RtlIpv4AddressToStringExA
       1208  4AD 000E7570 RtlIpv4AddressToStringExW
       1209  4AE 000E7620 RtlIpv4AddressToStringW
       1210  4AF 0006F9F0 RtlIpv4StringToAddressA
       1211  4B0 0006F9A0 RtlIpv4StringToAddressExA
       1212  4B1 0006C370 RtlIpv4StringToAddressExW
       1213  4B2 0006C3C0 RtlIpv4StringToAddressW
       1214  4B3 00075FA0 RtlIpv6AddressToStringA
       1215  4B4 000E7440 RtlIpv6AddressToStringExA
       1216  4B5 000E7660 RtlIpv6AddressToStringExW
       1217  4B6 000E7770 RtlIpv6AddressToStringW
       1218  4B7 0006EE20 RtlIpv6StringToAddressA
       1219  4B8 0006EDB0 RtlIpv6StringToAddressExA
       1220  4B9 0006BBB0 RtlIpv6StringToAddressExW
       1221  4BA 0006BC20 RtlIpv6StringToAddressW
       1222  4BB 000C2C00 RtlIsActivationContextActive
       1223  4BC 00090200 RtlIsApiSetImplemented
       1224  4BD 0006E9C0 RtlIsCapabilitySid
       1225  4BE 0006EC40 RtlIsCloudFilesPlaceholder
       1226  4BF 000CFA80 RtlIsCriticalSectionLocked
       1227  4C0 0005B000 RtlIsCriticalSectionLockedByThread
       1228  4C1 000EC4F0 RtlIsCurrentProcess
       1229  4C2 000EC520 RtlIsCurrentThread
       1230  4C3 0008D5E0 RtlIsCurrentThreadAttachExempt
       1231  4C4 0006B420 RtlIsDosDeviceName_U
       1232  4C5 000CB8F0 RtlIsElevatedRid
       1233  4C6 000900F0 RtlIsEnclaveFeaturePresent
       1234  4C7 000E39B0 RtlIsGenericTableEmpty
       1235  4C8 000E3B90 RtlIsGenericTableEmptyAvl
       1236  4C9 0002AD90 RtlIsMultiSessionSku
       1237  4CA 00075520 RtlIsMultiUsersInSessionSku
       1238  4CB 000E6C90 RtlIsNameInExpression
       1239  4CC 000E6D20 RtlIsNameInUnUpcasedExpression
       1240  4CD 000E8740 RtlIsNameLegalDOS8Dot3
       1241  4CE 000EC550 RtlIsNonEmptyDirectoryReparsePointAllowed
       1242  4CF 000EE290 RtlIsNormalizedString
       1243  4D0 00029760 RtlIsPackageSid
       1244  4D1 000CB940 RtlIsParentOfChildAppContainer
       1245  4D2 0006DED0 RtlIsPartialPlaceholder
       1246  4D3 000EC3A0 RtlIsPartialPlaceholderFileHandle
       1247  4D4 000EC3F0 RtlIsPartialPlaceholderFileInfo
       1248  4D5 00068880 RtlIsProcessorFeaturePresent
       1249  4D6 00069C00 RtlIsStateSeparationEnabled
       1250  4D7 00061490 RtlIsTextUnicode
       1251  4D8 00070490 RtlIsThreadWithinLoaderCallout
       1252  4D9 000CB9B0 RtlIsUntrustedObject
       1253  4DA 00063430 RtlIsValidHandle
       1254  4DB 000633F0 RtlIsValidIndexHandle
       1255  4DC 000E8B30 RtlIsValidLocaleName
       1256  4DD 000CBAE0 RtlIsValidProcessTrustLabelSid
       1257  4DE 000EC580 RtlIsZeroMemory
       1258  4DF 000EE420 RtlKnownExceptionFilter
       1259  4E0 00031130 RtlLCIDToCultureName
       1260  4E1 00098050 RtlLargeIntegerAdd
       1261  4E2 00098260 RtlLargeIntegerArithmeticShift
       1262  4E3 000EE8F0 RtlLargeIntegerDivide
       1263  4E4 00098290 RtlLargeIntegerNegate
       1264  4E5 00098200 RtlLargeIntegerShiftLeft
       1265  4E6 00098230 RtlLargeIntegerShiftRight
       1266  4E7 000982B0 RtlLargeIntegerSubtract
       1267  4E8 000D5970 RtlLargeIntegerToChar
       1268  4E9 00031E10 RtlLcidToLocaleName
       1269  4EA 0004EA70 RtlLeaveCriticalSection
       1270  4EB 0006ECB0 RtlLengthRequiredSid
       1271  4EC 0006C260 RtlLengthSecurityDescriptor
       1272  4ED 00068270 RtlLengthSid
       1273  4EE 000CBB50 RtlLengthSidAsUnicodeString
       1274  4EF 00063BD0 RtlLoadString
       1275  4F0 000CA040 RtlLocalTimeToSystemTime
       1276  4F1 00031C60 RtlLocaleNameToLcid
       1278  4F2 000E1140 RtlLocateExtendedFeature
       1277  4F3 000E0FE0 RtlLocateExtendedFeature2
       1279  4F4 000E1170 RtlLocateLegacyContext
       1280  4F5 000D6020 RtlLockBootStatusData
       1281  4F6 000E3660 RtlLockCurrentThread
       1282  4F7 00043BE0 RtlLockHeap
       1283  4F8 000D2950 RtlLockMemoryBlockLookaside
       1284  4F9 000B9D60 RtlLockMemoryStreamRegion
       1285  4FA 00027C50 RtlLockMemoryZone
       1286  4FB 00027DF0 RtlLockModuleSection
       1287  4FC 000EE9E0 RtlLogStackBackTrace
       1288  4FD 00063130 RtlLookupAtomInAtomTable
       1289  4FE 000261D0 RtlLookupElementGenericTable
       1290  4FF 000253A0 RtlLookupElementGenericTableAvl
       1291  500 00026200 RtlLookupElementGenericTableFull
       1292  501 000253D0 RtlLookupElementGenericTableFullAvl
       1293  502 000E0750 RtlLookupEntryHashTable
       1294  503 000E3BB0 RtlLookupFirstMatchingElementGenericTableAvl
       1295  504 0006A370 RtlMakeSelfRelativeSD
       1296  505 0008E640 RtlMapGenericMask
       1297  506 000CBBA0 RtlMapSecurityErrorToNtStatus
       1298  507 00097DC0 RtlMoveMemory
       1299  508 00047110 RtlMultiAppendUnicodeStringBuffer
       1300  509 00065E80 RtlMultiByteToUnicodeN
       1301  50A 00049E90 RtlMultiByteToUnicodeSize
       1302  50B 000DC360 RtlMultipleAllocateHeap
       1303  50C 000DC3A0 RtlMultipleFreeHeap
       1304  50D 000BB200 RtlNewInstanceSecurityObject
       1305  50E 000BB2C0 RtlNewSecurityGrantedAccess
       1306  50F 0002AA70 RtlNewSecurityObject
       1307  510 0002AEF0 RtlNewSecurityObjectEx
       1308  511 000BB3F0 RtlNewSecurityObjectWithMultipleInheritance
       1309  512 000C4EB0 RtlNormalizeProcessParams
       1310  513 000CBC90 RtlNormalizeSecurityDescriptor
       1311  514 000EE300 RtlNormalizeString
       1312  515 000EF1E0 RtlNotifyFeatureUsage
       1313  516 000B2DB0 RtlNtPathNameToDosPathName
       1314  517 0005FEA0 RtlNtStatusToDosError
       1315  518 00069B40 RtlNtStatusToDosErrorNoTeb
       1316  519 00029C20 RtlNumberGenericTableElements
       1317  51A 000E3C30 RtlNumberGenericTableElementsAvl
       1318  51B 000D4A60 RtlNumberOfClearBits
       1319  51C 000D4A80 RtlNumberOfClearBitsInRange
       1320  51D 000D4AB0 RtlNumberOfSetBits
       1321  51E 000D4C00 RtlNumberOfSetBitsInRange
       1322  51F 00090330 RtlNumberOfSetBitsUlongPtr
       1323  520 00029460 RtlOemStringToUnicodeSize
       1324  521 00029380 RtlOemStringToUnicodeString
       1325  522 00029490 RtlOemToUnicodeN
       1326  523 0002C5A0 RtlOpenCurrentUser
       1327  524 000EF670 RtlOsDeploymentState
       1328  525 000902C0 RtlOverwriteFeatureConfigurationBuffer
       1329  526 000CBF10 RtlOwnerAcesPresent
       1330  527 00052B90 RtlPcToFileHeader
       1331  528 000D24C0 RtlPinAtomInAtomTable
       1332  529 000B3E50 RtlPopFrame
       1333  52A 000701A0 RtlPrefixString
       1334  52B 00049380 RtlPrefixUnicodeString
       1335  52C 00070D70 RtlProcessFlsData
       1336  52D 000274D0 RtlProtectHeap
       1337  52E 000757D0 RtlPublishWnfStateData
       1338  52F 000B3E80 RtlPushFrame
       1339  530 0003A150 RtlQueryActivationContextApplicationSettings
       1340  531 000EF250 RtlQueryAllFeatureConfigurations
       1341  532 000284E0 RtlQueryAtomInAtomTable
       1342  533 000CFAA0 RtlQueryCriticalSectionOwner
       1343  534 0006ACA0 RtlQueryDepthSList
       1344  535 000D6690 RtlQueryDynamicTimeZoneInformation
       1345  536 0006F1D0 RtlQueryElevationFlags
       1346  537 00043810 RtlQueryEnvironmentVariable
       1347  538 0006C0A0 RtlQueryEnvironmentVariable_U
       1348  539 00068C30 RtlQueryFeatureConfiguration
       1349  53A 000EF2C0 RtlQueryFeatureConfigurationChangeStamp
       1350  53B 000EF2F0 RtlQueryFeatureUsageNotificationSubscriptions
       1351  53C 000DC3E0 RtlQueryHeapInformation
       1352  53D 000C4FE0 RtlQueryImageMitigationPolicy
       1353  53E 0002AB10 RtlQueryInformationAcl
       1354  53F 0003B930 RtlQueryInformationActivationContext
       1355  540 00039D40 RtlQueryInformationActiveActivationContext
       1356  541 000B9D70 RtlQueryInterfaceMemoryStream
       1357  542 000C7F30 RtlQueryModuleInformation
       1358  543 00068B20 RtlQueryPackageClaims
       1359  544 00068A90 RtlQueryPackageIdentity
       1360  545 00068AD0 RtlQueryPackageIdentityEx
       1361  546 00060C60 RtlQueryPerformanceCounter
       1362  547 000688A0 RtlQueryPerformanceFrequency
       1363  548 0008F220 RtlQueryPointerMapping
       1364  549 000BB9A0 RtlQueryProcessBackTraceInformation
       1365  54A 000BBAF0 RtlQueryProcessDebugInformation
       1366  54B 000BBF20 RtlQueryProcessHeapInformation
       1367  54C 000BC230 RtlQueryProcessLockInformation
       1368  54D 000EC470 RtlQueryProcessPlaceholderCompatibilityMode
       1369  54E 0008F2C0 RtlQueryPropertyStore
       1370  54F 00070420 RtlQueryProtectedPolicy
       1371  550 000D66B0 RtlQueryRegistryValueWithFallback
       1372  551 000D67C0 RtlQueryRegistryValues
       1373  552 000D67F0 RtlQueryRegistryValuesEx
       1374  553 00037BF0 RtlQueryResourcePolicy
       1375  554 000BB430 RtlQuerySecurityObject
       1376  555 000DC560 RtlQueryTagHeap
       1377  556 0006E4A0 RtlQueryThreadPlaceholderCompatibilityMode
       1378  557 000B2730 RtlQueryThreadProfiling
       1379  558 000D6820 RtlQueryTimeZoneInformation
       1380  559 000EF750 RtlQueryTokenHostIdAsUlong64
       1381  55A 000613D0 RtlQueryUnbiasedInterruptTime
       1382  55B 000EF7D0 RtlQueryValidationRunlevel
       1383  55C 000C0FA0 RtlQueryWnfMetaNotification
       1384  55D 0005E460 RtlQueryWnfStateData
       1385  55E 000C0FF0 RtlQueryWnfStateDataWithExplicitScope
       1386  55F 000BF1F0 RtlQueueApcWow64Thread
       1387  560 000371B0 RtlQueueWorkItem
       1388  561 000EF860 RtlRaiseCustomSystemEventTrigger
       1389  562 000986A0 RtlRaiseException
       1390  563 000986E0 RtlRaiseStatus
       1391  564 0006D5A0 RtlRandom
       1392  565 0006D5A0 RtlRandomEx
       1393  566 00045230 RtlRbInsertNodeEx
       1394  567 000415B0 RtlRbRemoveNode
       1395  568 0005B260 RtlReAllocateHeap
       1396  569 000B9D80 RtlReadMemoryStream
       1397  56A 000B9D80 RtlReadOutOfProcessMemoryStream
       1398  56B 000B2750 RtlReadThreadProfilingData
       1399  56C 000E3810 RtlRealPredecessor
       1400  56D 000E3850 RtlRealSuccessor
       1401  56E 0005D360 RtlRegisterFeatureConfigurationChangeNotification
       1402  56F 000C10D0 RtlRegisterForWnfMetaNotification
       1403  570 000E3D40 RtlRegisterSecureMemoryCacheCallback
       1404  571 0006EBF0 RtlRegisterThreadWithCsrss
       1405  572 00038BC0 RtlRegisterWait
       1406  573 00038F90 RtlReleaseActivationContext
       1407  574 0008E970 RtlReleaseMemoryStream
       1408  575 000637C0 RtlReleasePath
       1409  576 000440F0 RtlReleasePebLock
       1410  577 000CBF30 RtlReleasePrivilege
       1411  578 000691B0 RtlReleaseRelativeName
       1412  579 0006DC20 RtlReleaseResource
       1413  57A 00043280 RtlReleaseSRWLockExclusive
       1414  57B 00051B90 RtlReleaseSRWLockShared
       1415  57C 000EBFC0 RtlRemoteCall
       1416  57D 000E07A0 RtlRemoveEntryHashTable
       1417  57E 0008F320 RtlRemovePointerMapping
       1418  57F 000CBFC0 RtlRemovePrivileges
       1419  580 0008F3D0 RtlRemovePropertyStore
       1420  581 000BD3B0 RtlRemoveVectoredContinueHandler
       1421  582 00029A60 RtlRemoveVectoredExceptionHandler
       1422  583 000CC0F0 RtlReplaceSidInSd
       1423  584 00069C90 RtlReplaceSystemDirectoryInPath
       1424  585 000BF5D0 RtlReportException
       1425  586 000BF650 RtlReportExceptionEx
       1426  587 0005DE60 RtlReportSilentProcessExit
       1427  588 000BFC70 RtlReportSqmEscalation
       1428  589 000D29C0 RtlResetMemoryBlockLookaside
       1429  58A 000D2C40 RtlResetMemoryZone
       1430  58B 00078200 RtlResetNtUserPfn
       1431  58C 0008D8D0 RtlResetRtlTranslations
       1432  58D 000D6040 RtlRestoreBootStatusDefaults
       1433  58E 000901E0 RtlRestoreContext
       1434  58F 00060020 RtlRestoreLastWin32Error
       1435  590 000D6100 RtlRestoreSystemBootStatusDefaults
       1436  591 000D8240 RtlRestoreThreadPreferredUILanguages
       1437  592 000782B0 RtlRetrieveNtUserPfn
       1438  593 000B9D90 RtlRevertMemoryStream
       1439  594 000CC3F0 RtlRunDecodeUnicodeString
       1440  595 000CC440 RtlRunEncodeUnicodeString
       1441  596 000599F0 RtlRunOnceBeginInitialize
       1442  597 0005E520 RtlRunOnceComplete
       1443  598 00045820 RtlRunOnceExecuteOnce
       1444  599 0005A990 RtlRunOnceInitialize
       1445  59A 000CA0A0 RtlSecondsSince1970ToTime
       1446  59B 000CA0E0 RtlSecondsSince1980ToTime
       1447  59C 000B9DA0 RtlSeekMemoryStream
       1449  59D 000CAF80 RtlSelfRelativeToAbsoluteSD
       1448  59E 000CAEE0 RtlSelfRelativeToAbsoluteSD2
       1450  59F 000DFD40 RtlSendMsgToSm
       1451  5A0 000D4DF0 RtlSetAllBits
       1452  5A1 000CC4C0 RtlSetAttributesSecurityDescriptor
       1453  5A2 0008EA60 RtlSetBit
       1454  5A3 0003B360 RtlSetBits
       1455  5A4 000707B0 RtlSetControlSecurityDescriptor
       1456  5A5 0006C320 RtlSetCriticalSectionSpinCount
       1457  5A6 00025D50 RtlSetCurrentDirectory_U
       1458  5A7 000B37B0 RtlSetCurrentEnvironment
       1459  5A8 00061B90 RtlSetCurrentTransaction
       1460  5A9 00032CC0 RtlSetDaclSecurityDescriptor
       1461  5AA 000D6840 RtlSetDynamicTimeZoneInformation
       1462  5AB 000B3840 RtlSetEnvironmentStrings
       1463  5AC 000602D0 RtlSetEnvironmentVar
       1464  5AD 000260D0 RtlSetEnvironmentVariable
       1465  5AE 000E11B0 RtlSetExtendedFeaturesMask
       1466  5AF 000EF350 RtlSetFeatureConfigurations
       1467  5B0 00032C60 RtlSetGroupSecurityDescriptor
       1468  5B1 0006FAD0 RtlSetHeapInformation
       1469  5B2 000C5AB0 RtlSetImageMitigationPolicy
       1470  5B3 000D0BC0 RtlSetInformationAcl
       1471  5B4 0010C1A0 RtlSetIoCompletionCallback
       1472  5B5 00060020 RtlSetLastWin32Error
       1473  5B6 0005FE80 RtlSetLastWin32ErrorAndNtStatusFromNtStatus
       1474  5B7 000B9D70 RtlSetMemoryStreamSize
       1475  5B8 00032C00 RtlSetOwnerSecurityDescriptor
       1476  5B9 000D6570 RtlSetPortableOperatingSystem
       1477  5BA 000BC4E0 RtlSetProcessDebugInformation
       1478  5BB 000E8A10 RtlSetProcessIsCritical
       1479  5BC 000EC490 RtlSetProcessPlaceholderCompatibilityMode
       1480  5BD 000D8300 RtlSetProcessPreferredUILanguages
       1481  5BE 0006D450 RtlSetProtectedPolicy
       1482  5BF 00075A40 RtlSetProxiedProcessId
       1483  5C0 0006BB40 RtlSetSaclSecurityDescriptor
       1484  5C1 000C1F50 RtlSetSearchPathMode
       1485  5C2 000CC500 RtlSetSecurityDescriptorRMControl
       1486  5C3 000BB670 RtlSetSecurityObject
       1487  5C4 000BB6A0 RtlSetSecurityObjectEx
       1488  5C5 000D6140 RtlSetSystemBootStatus
       1489  5C6 000D6180 RtlSetSystemBootStatusEx
       1490  5C7 00029EC0 RtlSetThreadErrorMode
       1491  5C8 000E8A80 RtlSetThreadIsCritical
       1492  5C9 0006C1E0 RtlSetThreadPlaceholderCompatibilityMode
       1493  5CA 00070A00 RtlSetThreadPoolStartFunc
       1495  5CB 0002E9D0 RtlSetThreadPreferredUILanguages
       1494  5CC 0002E9A0 RtlSetThreadPreferredUILanguages2
       1496  5CD 00064AE0 RtlSetThreadSubProcessTag
       1497  5CE 000403E0 RtlSetThreadWorkOnBehalfTicket
       1498  5CF 000D6860 RtlSetTimeZoneInformation
       1499  5D0 0010BEF0 RtlSetTimer
       1500  5D1 0006F570 RtlSetUnhandledExceptionFilter
       1501  5D2 0006F900 RtlSetUserCallbackExceptionFilter
       1502  5D3 000DC830 RtlSetUserFlagsHeap
       1503  5D4 0005CC80 RtlSetUserValueHeap
       1504  5D5 0002ACE0 RtlSidDominates
       1505  5D6 0002C2B0 RtlSidDominatesForTrust
       1506  5D7 000CC540 RtlSidEqualLevel
       1507  5D8 000CC5C0 RtlSidHashInitialize
       1508  5D9 000CC650 RtlSidHashLookup
       1509  5DA 000CC760 RtlSidIsHigherLevel
       1510  5DB 00060900 RtlSizeHeap
       1511  5DC 000EBBC0 RtlSleepConditionVariableCS
       1512  5DD 00043390 RtlSleepConditionVariableSRW
       1513  5DE 0006BFA0 RtlSplay
       1514  5DF 000CAE80 RtlStartRXact
       1515  5E0 000B9D70 RtlStatMemoryStream
       1516  5E1 00070560 RtlStringFromGUID
       1517  5E2 00070580 RtlStringFromGUIDEx
       1518  5E3 000E0800 RtlStronglyEnumerateEntryHashTable
       1519  5E4 0006E570 RtlSubAuthorityCountSid
       1520  5E5 0006C240 RtlSubAuthoritySid
       1521  5E6 000EF420 RtlSubscribeForFeatureUsageNotification
       1522  5E7 0005E610 RtlSubscribeWnfStateChangeNotification
       1523  5E8 0006B330 RtlSubtreePredecessor
       1524  5E9 000E3890 RtlSubtreeSuccessor
       1525  5EA 00037F40 RtlSwitchedVVI
       1526  5EB 000CA120 RtlSystemTimeToLocalTime
       1527  5EC 000C1120 RtlTestAndPublishWnfStateData
       1528  5ED 0008EA90 RtlTestBit
       1529  5EE 000C72E0 RtlTestProtectedAccess
       1530  5EF 00061DE0 RtlTimeFieldsToTime
       1531  5F0 000CA180 RtlTimeToElapsedTimeFields
       1532  5F1 000CA200 RtlTimeToSecondsSince1970
       1533  5F2 000CA250 RtlTimeToSecondsSince1980
       1534  5F3 00062050 RtlTimeToTimeFields
       1535  5F4 000EFDB0 RtlTraceDatabaseAdd
       1536  5F5 000EFE00 RtlTraceDatabaseCreate
       1537  5F6 000EFF00 RtlTraceDatabaseDestroy
       1538  5F7 000EFF60 RtlTraceDatabaseEnumerate
       1539  5F8 000F0010 RtlTraceDatabaseFind
       1540  5F9 000F0060 RtlTraceDatabaseLock
       1541  5FA 000F0090 RtlTraceDatabaseUnlock
       1542  5FB 000F00B0 RtlTraceDatabaseValidate
       1543  5FC 000638B0 RtlTryAcquirePebLock
       1544  5FD 00075F80 RtlTryAcquireSRWLockExclusive
       1545  5FE 0006DBE0 RtlTryAcquireSRWLockShared
       1546  5FF 000CF810 RtlTryConvertSRWLockSharedToExclusiveOrRelease
       1547  600 000638D0 RtlTryEnterCriticalSection
       1548  601 000F0320 RtlUTF8StringToUnicodeString
       1549  602 00062370 RtlUTF8ToUnicodeN
       1550  603 000F04F0 RtlUdiv128
         12  604 000C3AC0 RtlUlongByteSwap
         13  605 000C3AD0 RtlUlonglongByteSwap
       1552  606 000902A0 RtlUnhandledExceptionFilter
       1551  607 000EE440 RtlUnhandledExceptionFilter2
       1553  608 00063E30 RtlUnicodeStringToAnsiSize
       1554  609 00063E90 RtlUnicodeStringToAnsiString
       1555  60A 000D3040 RtlUnicodeStringToCountedOemString
       1556  60B 00063680 RtlUnicodeStringToInteger
       1557  60C 00063E30 RtlUnicodeStringToOemSize
       1558  60D 00063D50 RtlUnicodeStringToOemString
       1559  60E 000F0400 RtlUnicodeStringToUTF8String
       1560  60F 000C9500 RtlUnicodeToCustomCPN
       1561  610 00064030 RtlUnicodeToMultiByteN
       1562  611 00063F90 RtlUnicodeToMultiByteSize
       1563  612 00063E60 RtlUnicodeToOemN
       1564  613 00068000 RtlUnicodeToUTF8N
       1565  614 000EFC10 RtlUniform
       1566  615 000D61A0 RtlUnlockBootStatusData
       1567  616 000E3700 RtlUnlockCurrentThread
       1568  617 0005DF50 RtlUnlockHeap
       1569  618 000D2A10 RtlUnlockMemoryBlockLookaside
       1570  619 000B9D60 RtlUnlockMemoryStreamRegion
       1571  61A 00027BE0 RtlUnlockMemoryZone
       1572  61B 00027D60 RtlUnlockModuleSection
       1573  61C 00029D10 RtlUnregisterFeatureConfigurationChangeNotification
       1574  61D 000EF440 RtlUnsubscribeFromFeatureUsageNotifications
       1575  61E 000642A0 RtlUnsubscribeWnfNotificationWaitForCompletion
       1576  61F 000C11B0 RtlUnsubscribeWnfNotificationWithCompletionCallback
       1577  620 00064280 RtlUnsubscribeWnfStateChangeNotification
       1578  621 0006C560 RtlUnwind
       1579  622 0006C220 RtlUpcaseUnicodeChar
       1580  623 00032A90 RtlUpcaseUnicodeString
       1581  624 000D3140 RtlUpcaseUnicodeStringToAnsiString
       1582  625 000D3220 RtlUpcaseUnicodeStringToCountedOemString
       1583  626 000D3320 RtlUpcaseUnicodeStringToOemString
       1584  627 000C9620 RtlUpcaseUnicodeToCustomCPN
       1585  628 0006DCD0 RtlUpcaseUnicodeToMultiByteN
       1586  629 000C9750 RtlUpcaseUnicodeToOemN
       1587  62A 0008E930 RtlUpdateClonedCriticalSection
       1588  62B 000CF890 RtlUpdateClonedSRWLock
       1589  62C 0010BF10 RtlUpdateTimer
       1590  62D 00070220 RtlUpperChar
       1591  62E 000D35D0 RtlUpperString
       1592  62F 00075F20 RtlUserFiberStart
       1593  630 00078800 RtlUserThreadStart
         14  631 000C3AF0 RtlUshortByteSwap
       1594  632 00030230 RtlValidAcl
       1595  633 000C7330 RtlValidProcessProtection
       1596  634 0006E220 RtlValidRelativeSecurityDescriptor
       1597  635 0002C350 RtlValidSecurityDescriptor
       1598  636 000301D0 RtlValidSid
       1599  637 000E7D60 RtlValidateCorrelationVector
       1600  638 000258E0 RtlValidateHeap
       1601  639 000DCBB0 RtlValidateProcessHeaps
       1602  63A 000D3410 RtlValidateUnicodeString
       1603  63B 000E98B0 RtlVerifyVersionInfo
       1604  63C 000C1200 RtlWaitForWnfMetaNotification
