Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file E:\KsaLib\0\dll_xp_win7_win11\ntdll_export\ntdll_86.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    2451EFDD time date stamp
        0.00 version
           8 ordinal base
        2482 number of functions
        2482 number of names

    ordinal hint RVA      name

        240   E1 000768C0 NtAlpcCreatePort
        241   E2 000768D0 NtAlpcCreatePortSection
        242   E3 000768E0 NtAlpcCreateResourceReserve
        243   E4 000768F0 NtAlpcCreateSectionView
        244   E5 00076900 NtAlpcCreateSecurityContext
        245   E6 00076910 NtAlpcDeletePortSection
        246   E7 00076920 NtAlpcDeleteResourceReserve
        247   E8 00076930 NtAlpcDeleteSectionView
        248   E9 00076940 NtAlpcDeleteSecurityContext
        249   EA 00076950 NtAlpcDisconnectPort
        250   EB 00076960 NtAlpcImpersonateClientContainerOfPort
        251   EC 00076970 NtAlpcImpersonateClientOfPort
        252   ED 00076980 NtAlpcOpenSenderProcess
        253   EE 00076990 NtAlpcOpenSenderThread
        254   EF 000769A0 NtAlpcQueryInformation
        255   F0 000769B0 NtAlpcQueryInformationMessage
        256   F1 000769C0 NtAlpcRevokeSecurityContext
        257   F2 000769D0 NtAlpcSendWaitReceivePort
        258   F3 000769E0 NtAlpcSetInformation
        259   F4 000765D0 NtApphelpCacheControl
        260   F5 000769F0 NtAreMappedFilesTheSame
        261   F6 00076A00 NtAssignProcessToJobObject
        262   F7 00076A10 NtAssociateWaitCompletionPacket
        263   F8 00076A20 NtCallEnclave
        264   F9 00076140 NtCallbackReturn
        265   FA 000766E0 NtCancelIoFile
        266   FB 00076A30 NtCancelIoFileEx
        267   FC 00076A40 NtCancelSynchronousIoFile
        269   FD 00076720 NtCancelTimer
        268   FE 00076A50 NtCancelTimer2
        270   FF 00076A60 NtCancelWaitCompletionPacket
        271  100 00076A70 NtChangeProcessState
        272  101 00076A80 NtChangeThreadState
        273  102 000764F0 NtClearEvent
        274  103 000761E0 NtClose
        275  104 000764C0 NtCloseObjectAuditAlarm
        276  105 00076A90 NtCommitComplete
        277  106 00076AA0 NtCommitEnlistment
        278  107 00076AB0 NtCommitRegistryTransaction
        279  108 00076AC0 NtCommitTransaction
        280  109 00076AD0 NtCompactKeys
        281  10A 00076AE0 NtCompareObjects
        282  10B 00076AF0 NtCompareSigningLevels
        283  10C 00076B00 NtCompareTokens
        284  10D 00076B10 NtCompleteConnectPort
        285  10E 00076B20 NtCompressKey
        286  10F 00076B30 NtConnectPort
        287  110 00076540 NtContinue
        288  111 00076B40 NtContinueEx
        289  112 00076B50 NtConvertBetweenAuxiliaryCounterAndPerformanceCounter
        290  113 00076B60 NtCopyFileChunk
        291  114 00076B70 NtCreateCpuPartition
        292  115 00076B80 NtCreateCrossVmEvent
        293  116 00076B90 NtCreateCrossVmMutant
        294  117 00076BA0 NtCreateDebugObject
        295  118 00076BB0 NtCreateDirectoryObject
        296  119 00076BC0 NtCreateDirectoryObjectEx
        297  11A 00076BD0 NtCreateEnclave
        298  11B 00076BE0 NtCreateEnlistment
        299  11C 00076590 NtCreateEvent
        300  11D 00076BF0 NtCreateEventPair
        301  11E 00076660 NtCreateFile
        302  11F 00076C00 NtCreateIRTimer
        303  120 00076C10 NtCreateIoCompletion
        304  121 00076C20 NtCreateIoRing
        305  122 00076C30 NtCreateJobObject
        306  123 00076C40 NtCreateJobSet
        307  124 000762E0 NtCreateKey
        308  125 00076C50 NtCreateKeyTransacted
        309  126 00076C60 NtCreateKeyedEvent
        310  127 00076C70 NtCreateLowBoxToken
        311  128 00076C80 NtCreateMailslotFile
        312  129 00076C90 NtCreateMutant
        313  12A 00076CA0 NtCreateNamedPipeFile
        314  12B 00076CB0 NtCreatePagingFile
        315  12C 00076CC0 NtCreatePartition
        316  12D 00076CD0 NtCreatePort
        317  12E 00076CE0 NtCreatePrivateNamespace
        318  12F 00076CF0 NtCreateProcess
        319  130 000765E0 NtCreateProcessEx
        320  131 00076D00 NtCreateProcessStateChange
        321  132 00076D10 NtCreateProfile
        322  133 00076D20 NtCreateProfileEx
        323  134 00076D30 NtCreateRegistryTransaction
        324  135 00076D40 NtCreateResourceManager
        325  136 000765B0 NtCreateSection
        326  137 00076D50 NtCreateSectionEx
        327  138 00076D60 NtCreateSemaphore
        328  139 00076D70 NtCreateSymbolicLinkObject
        329  13A 000765F0 NtCreateThread
        330  13B 00076D80 NtCreateThreadEx
        331  13C 00076D90 NtCreateThreadStateChange
        333  13D 00076DA0 NtCreateTimer
        332  13E 00076DB0 NtCreateTimer2
        334  13F 00076DC0 NtCreateToken
        335  140 00076DD0 NtCreateTokenEx
        336  141 00076DE0 NtCreateTransaction
        337  142 00076DF0 NtCreateTransactionManager
        338  143 00076E00 NtCreateUserProcess
        339  144 00076E10 NtCreateWaitCompletionPacket
        340  145 00076E20 NtCreateWaitablePort
        341  146 00076E30 NtCreateWnfStateName
        342  147 00076E40 NtCreateWorkerFactory
        343  148 000B8AF0 NtCurrentTeb
