Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    5C6E13DD time date stamp Thu Feb 21 10:58:37 2019
        0.00 version
           1 ordinal base
        345  150 0006A730 NtModifyBootEntry
        346  151 0006A740 NtModifyDriverEntry
        347  152 0006A750 NtNotifyChangeDirectoryFile
        348  153 0006A760 NtNotifyChangeKey
        349  154 0006A770 NtNotifyChangeMultipleKeys
        350  155 0006A780 NtNotifyChangeSession
        351  156 00069E00 NtOpenDirectoryObject
        352  157 0006A790 NtOpenEnlistment
        353  158 00069C80 NtOpenEvent
        354  159 0006A7A0 NtOpenEventPair
        355  15A 00069BB0 NtOpenFile
        356  15B 0006A7B0 NtOpenIoCompletion
        357  15C 0006A7C0 NtOpenJobObject
        358  15D 000699A0 NtOpenKey
        359  15E 0006A7D0 NtOpenKeyEx
        360  15F 0006A7E0 NtOpenKeyTransacted
        361  160 0006A7F0 NtOpenKeyTransactedEx
        362  161 0006A800 NtOpenKeyedEvent
        363  162 0006A810 NtOpenMutant
        364  163 0006A820 NtOpenObjectAuditAlarm
        365  164 0006A830 NtOpenPrivateNamespace
        366  165 00069AE0 NtOpenProcess
        367  166 0006A840 NtOpenProcessToken
        368  167 00069B80 NtOpenProcessTokenEx
        369  168 0006A850 NtOpenResourceManager
        370  169 00069BF0 NtOpenSection
        371  16A 0006A860 NtOpenSemaphore
        372  16B 0006A870 NtOpenSession
        373  16C 0006A880 NtOpenSymbolicLinkObject
        374  16D 0006A890 NtOpenThread
        375  16E 00069AC0 NtOpenThreadToken
        376  16F 00069B70 NtOpenThreadTokenEx
        377  170 0006A8A0 NtOpenTimer
        378  171 0006A8B0 NtOpenTransaction
        379  172 0006A8C0 NtOpenTransactionManager
        380  173 0006A8D0 NtPlugPlayControl
        381  174 00069E70 NtPowerInformation
        382  175 0006A8E0 NtPrePrepareComplete
        383  176 0006A8F0 NtPrePrepareEnlistment
        384  177 0006A900 NtPrepareComplete
        385  178 0006A910 NtPrepareEnlistment
        386  179 0006A920 NtPrivilegeCheck
        387  17A 0006A930 NtPrivilegeObjectAuditAlarm
        388  17B 0006A940 NtPrivilegedServiceAuditAlarm
        389  17C 0006A950 NtPropagationComplete
        390  17D 0006A960 NtPropagationFailed
        391  17E 00069D80 NtProtectVirtualMemory
        392  17F 0006A970 NtPulseEvent
        393  180 00069C50 NtQueryAttributesFile
        394  181 0006A980 NtQueryBootEntryOrder
        395  182 0006A990 NtQueryBootOptions
        396  183 0006A9A0 NtQueryDebugFilterState
        397  184 000699D0 NtQueryDefaultLocale
        398  185 00069CC0 NtQueryDefaultUILanguage
        399  186 00069BD0 NtQueryDirectoryFile
        400  187 0006A9B0 NtQueryDirectoryObject
        401  188 0006A9C0 NtQueryDriverEntryOrder
        402  189 0006A9D0 NtQueryEaFile
        403  18A 00069DE0 NtQueryEvent
        404  18B 0006A9E0 NtQueryFullAttributesFile
        405  18C 0006A9F0 NtQueryInformationAtom
        406  18D 0006AA00 NtQueryInformationEnlistment
        407  18E 00069990 NtQueryInformationFile
