Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    5C6E1C38 time date stamp Thu Feb 21 11:34:16 2019
        0.00 version
           1 ordinal base
        231   D8 0001FE5C NtCloseObjectAuditAlarm
        232   D9 00020618 NtCommitComplete
        233   DA 00020630 NtCommitEnlistment
        234   DB 00020648 NtCommitTransaction
        235   DC 00020660 NtCompactKeys
        236   DD 00020678 NtCompareTokens
        237   DE 00020690 NtCompleteConnectPort
        238   DF 000206A8 NtCompressKey
        239   E0 000206C4 NtConnectPort
        240   E1 0001FF20 NtContinue
        241   E2 000206DC NtCreateDebugObject
        242   E3 000206F4 NtCreateDirectoryObject
        243   E4 0002070C NtCreateEnlistment
        244   E5 0001FFA4 NtCreateEvent
        245   E6 00020724 NtCreateEventPair
        246   E7 000200E4 NtCreateFile
        247   E8 0002073C NtCreateIoCompletion
        248   E9 00020754 NtCreateJobObject
        249   EA 0002076C NtCreateJobSet
        250   EB 0001FB70 NtCreateKey
        251   EC 00020784 NtCreateKeyTransacted
        252   ED 0002079C NtCreateKeyedEvent
        253   EE 000207B4 NtCreateMailslotFile
        254   EF 000207CC NtCreateMutant
        255   F0 000207E4 NtCreateNamedPipeFile
        256   F1 000207FC NtCreatePagingFile
        257   F2 00020814 NtCreatePort
        258   F3 0002082C NtCreatePrivateNamespace
        259   F4 00020844 NtCreateProcess
        260   F5 0002001C NtCreateProcessEx
        261   F6 0002085C NtCreateProfile
        262   F7 00020874 NtCreateProfileEx
        263   F8 0002088C NtCreateResourceManager
        264   F9 0001FFD4 NtCreateSection
        265   FA 000208A4 NtCreateSemaphore
        266   FB 000208BC NtCreateSymbolicLinkObject
        267   FC 00020034 NtCreateThread
        268   FD 000208D4 NtCreateThreadEx
        269   FE 000208EC NtCreateTimer
        270   FF 00020904 NtCreateToken
        271  100 0002091C NtCreateTransaction
        272  101 00020934 NtCreateTransactionManager
        273  102 0002094C NtCreateUserProcess
        274  103 00020964 NtCreateWaitablePort
        275  104 0002097C NtCreateWorkerFactory
        276  105 0009E9E3 NtCurrentTeb
        277  106 00020994 NtDebugActiveProcess
        278  107 000209B0 NtDebugContinue
        279  108 0001FDAC NtDelayExecution
        280  109 000209C8 NtDeleteAtom
        281  10A 000209E4 NtDeleteBootEntry
        282  10B 000209FC NtDeleteDriverEntry
        283  10C 00020A14 NtDeleteFile
        284  10D 00020A2C NtDeleteKey
        285  10E 00020A44 NtDeleteObjectAuditAlarm
        286  10F 00020A5C NtDeletePrivateNamespace
        287  110 00020A74 NtDeleteValueKey
        288  111 0001F93C NtDeviceIoControlFile
        289  112 00020A8C NtDisableLastKnownGood
        290  113 00020AA4 NtDisplayString
        291  114 00020ABC NtDrawText
        292  115 0001FE74 NtDuplicateObject
        293  116 0001FF08 NtDuplicateToken
        294  117 00020AD4 NtEnableLastKnownGood
        295  118 00020AEC NtEnumerateBootEntries
        296  119 00020B04 NtEnumerateDriverEntries
        297  11A 0001FD7C NtEnumerateKey
        298  11B 00020B1C NtEnumerateSystemEnvironmentValuesEx
        299  11C 00020B34 NtEnumerateTransactionObject
        300  11D 0001FA70 NtEnumerateValueKey
        301  11E 00020B4C NtExtendSection
        302  11F 00020B64 NtFilterToken
